audit_type,source_native_id,event_date,title_or_name,candidate_family,auto_in_scope,auto_primary_technology_id,auto_secondary_technology_ids,auto_confidence,auto_false_positive_type,auto_orientation,artifact_type,analysis_role,screening_reason,evidence_excerpt,ai_prereview_status,ai_suggested_in_scope,ai_suggested_primary_technology_id,ai_review_note,gold_status,gold_in_scope,gold_primary_technology_id,reviewer_note
IN_SCOPE_FALSE_POSITIVE,XuzhaoLi/ro-arxiv-daily,2024-02-11T02:20:28Z,XuzhaoLi/ro-arxiv-daily,T02,True,T14,[],HIGH,,DEFENSIVE,paper_code,ENGINEERING_SUPPLY,"AI=['machine learning', 'large language model', 'LLM']; family=['cyber deception', 'NO_REQUIRED_CONTEXT']","Automatically Update Arxiv Papers about Path Planning, LLM and Autonomous Driving using Github Actions since 2024.2. ## Updated on 2026.08.31 <details>   <summary>Table of Contents</summary>   <ol>     <li><a href=#path-planning>Path Planning</a></li>     <li><a href=#large-language-model>Large Language Model</a></li>     <li><a href=#autonomous-driving>Autonomous Driving</a></li>     <li><a href=#coverag-path-planning>Coverag Path Planning</a></li>   </ol> </details>  ## Path Planning  |Publish Date|Title|Authors|PDF|Code| |---|---|---|---|---| |**2025-07-23**|**Helium recovery system at IB3A**|D. Porwisiak et.al.|[2507.17538](http://arxiv.org/abs/2507.17538)|null| |**2025-07-23**|**Optimizing Delivery Logistics: Enhancing Speed and Safety with Drone Technology**|Maharshi Shastri et.al.|[2507.17253](http://arxiv.org/abs/2507.17253)|null| |**2025-07-23**|**On the Construction of Barrier Certificate: A Dynamic Programming Perspective**|Yu Chen et.al.|[2507.17222](http://arxiv.org/abs/2507.17222)|null| |**2025-07-23**|**Weather-Aware AI Systems versus Route-Optimization AI: A Comprehensive Analysis of AI Applications in Transportation Productivity**|Tatsuru Kikuchi et.al.|[2507.17099](http://arxiv.org/abs/2507.17099)|null| |**2025-07-20**|**Analytical Formulation of Autonomous Vehicle Freeway Merging Control with State-Dependent Discharge Rates**|Qing Tang et.al.|[2507.16846](http://arxiv.org/abs/2507.16846)|null| |**2025-07-22**|**Discrete-Time LQ Stochastic Two Person Nonzero Sum Difference Games With Random Coefficients:~Closed-Loop Nash Equilibrium**|Qingxin Meng et.al.|[2507.16412](http://arxiv.org/abs/2507.16412)|null| |**2025-07-22**|**Physics-aware Truck and Drone Delivery Planning Using Optimization & Machine Learning**|Yineng Sun et.al.|[2507.16259](http://arxiv",,,,,,,,
IN_SCOPE_FALSE_POSITIVE,ja57iu/IoT-Botnet-Detection-System,2026-04-19T21:55:08Z,ja57iu/IoT-Botnet-Detection-System,T06,True,T06,[],HIGH,,DEFENSIVE,tool_framework,ENGINEERING_SUPPLY,"AI=['machine learning']; family=['botnet detection', 'NO_REQUIRED_CONTEXT']","We are Cybersecurity students from the University of Bisha. For our graduation project, we developed a machine learning-based solution that monitors network traffic, detects IoT botnet activities, and supports the security of smart city infrastructures. # IoT-Botnet-Detection-System This project is an IoT botnet detection system  designed for smart city networks. It uses machine learning  models to analyze network traffic, identify malicious botnet  activity, and help detecting DDoS attacks. The system includes  data preprocessing, feature selection, automated model selection, and  an interactive dashboard for monitoring and threat detection.",,,,,,,,
IN_SCOPE_FALSE_POSITIVE,Acmesec/theAIMythbook,2025-02-14T16:23:35Z,Acmesec/theAIMythbook,T02,True,T15,"['T02', 'T04']",MEDIUM,,DUAL_USE_DEFENSE_PRIMARY,tool_framework,ENGINEERING_SUPPLY,"AI=['LLM']; family=['SAST', 'DAST', 'NO_REQUIRED_CONTEXT']",Ai迷思录（应用与安全指南） # Ai迷思录（应用与安全指南）  - [Ai迷思录（应用与安全指南）](#ai迷思录应用与安全指南)   - [AI 安全路线指南参考——洺熙](#ai-安全路线指南参考洺熙)   - [序言-炼丹道术之说](#序言-炼丹道术之说)   - [大模型的前世今生篇](#大模型的前世今生篇)     - [人工智能的三种定义](#人工智能的三种定义)     - [人工智能发展脉络：](#人工智能发展脉络)     - [大模型起源与未来分析](#大模型起源与未来分析)         - [缘起 从1950-2023](#缘起-从1950-2023)         - [2024年-2025年春节——未来新范式探索](#2024年-2025年春节未来新范式探索)           - [回溯ChatGPT时代：从文本压缩到推理模型](#回溯chatgpt时代从文本压缩到推理模型)           - [deep seek的工程创新点——新范式的确立](#deep-seek的工程创新点新范式的确立)     - [争议与展望](#争议与展望)       - [模型蒸馏](#模型蒸馏)       - [成本](#成本)       - [展望](#展望)   - [大模型能够实现的重要技术](#大模型能够实现的重要技术)       - [机器学习](#机器学习)       - [深度学习](#深度学习)       - [基础设施](#基础设施)   - [大模型使用过程常见踩坑点](#大模型使用过程常见踩坑点)     - [非prompt的问题表格汇总](#非prompt的问题表格汇总)   - [模型使用：prompt设计与优化篇](#模型使用prompt设计与优化篇)     - [什么是Prompt？](#什么是prompt)     - [设计的本质与技巧](#设计的本质与技巧)     - [设计前的准备](#设计前的准备)     - [设计技巧](#设计技巧)     - [Prompt框架](#prompt框架)     - [prompt优化与迭代](#prompt优化与迭代)     - [Prompt编写方法总结](#prompt编写方法总结)     - [Prompt自查清单](#prompt自查清单)     - [推理模型下的prompt](#推理模型下的prompt)       - [推荐乔哈里视窗判断人机盲区 达成对齐（摘取一念星球张凯寓 {他已经写的很好了，我就没必要再写了}）](#推荐乔哈里视窗判断人机盲区-达成对齐摘取一念星球张凯寓-他已经写的很好了我就没必要再写了)       - [那么我们来谈谈 推理模型](#那么我们来谈谈-推理模型)       - [推理模型prompt编写流程展示](#推理模型prompt编写流程展示)       - [判断任务是否可以通过提示解决？](#判断任务是否可以通过提示解决)       - [选择性使用角色扮演](#选择性使用角色扮演)       - [设计留有余地](#设计留有余地)       - [判断你的任务是指令导向还是提问导向？](#判断你的任务是指令导向还是提问导向)       - [第四象限是否能进行共振场域？](#第四象限是否能进行共振场域)       - [苏格拉底式的提问进行多轮对话](#苏格拉底式的提问进行多轮对话)   - [AI应用篇](#ai应用篇)     - [1. 代码审计与漏洞分析](#1-代码审计与漏洞分析)     - [2. 网络侦察与威胁情报](#2-网络侦察与威胁情报)     - [3. 渗透测试与漏洞利用](#3-渗透测试与漏洞利用)     - [4. 安全检测与防御](#4-安全检测与防御)     - [5. 逆向工程与自动化](#5-逆向工程与自动化)     - [6. 厂商AI](#6-厂商ai)     - [7.LLM应用侧](#7llm应用侧)   - [Ai安全篇](#ai安全篇)     - [安全对齐](#安全对齐)       - [安全对齐规则](#安全对齐规则)         - [越狱拦截](#越狱拦截)     ,,,,,,,,
IN_SCOPE_FALSE_POSITIVE,Eurt-labs/AI-DFIR,2026-06-16T01:22:14Z,Eurt-labs/AI-DFIR,T11,True,T11,[],HIGH,,DEFENSIVE,production_platform,ENGINEERING_SUPPLY,"AI=['artificial intelligence', 'machine learning']; family=['digital forensics', 'memory forensics', 'disk forensics', 'NO_REQUIRED_CONTEXT']","A NIST-aligned DFIR platform automating forensic analysis across 9 artifact categories with 6 custom Machine Learning models for sub-second threat detection and timeline correlation. # AI-Assisted Digital Forensics & Cyber Threat Investigation Framework  > **NIST SP 800-86 Aligned · 6 ML Models · 9 Artifact Categories · 7-Phase Workflow · Python + Next.js**  ---  ## 🔍 Overview  Modern cyber attacks generate millions of forensic artifacts every second — logs, memory dumps, network packets, registry hives — far beyond human capacity for manual analysis. The **AI-DFIR Framework** bridges the gap between traditional digital forensics and next-generation Artificial Intelligence.  This platform automates forensic evidence collection, anomaly detection, threat classification, and incident correlation across compromised systems and networks using six custom Machine Learning models.  ---  ## ⚡ The Problem Space  | Metric | Value | Source | |---|---|---| | Global Cybercrime Loss (2025) | **$10.5 Trillion** | [Cybersecurity Ventures](https://cybersecurityventures.com/cybercrime-damage-costs-10-5-trillion-by-2025/) | | Average Data Breach Cost | **$4.4 Million** | [IBM Security](https://www.ibm.com/reports/data-breach) | | FBI Cyber Complaints (2024) | **859,000+** | [IC3](https://www.ic3.gov/) | | Ransomware Attack Frequency | **Every 2 seconds** | [Cybersecurity Ventures](https://cybersecurityventures.com/global-ransomware-damage-costs-predicted-to-reach-250-billion-usd-by-2031/) |  ### The Investigator's Dilemma 1. **Thousands of logs** are generated every minute across compromised hosts. 2. **Gigabytes of network telemetry** must be captured, parsed, and searched in real time. 3. **Volatile RAM artifacts** decay quickly or are lost during emergency reboots. 4. **Timeline correl",,,,,,,,
IN_SCOPE_FALSE_POSITIVE,23CSBS041/Patch-vulnerability-checker,2026-06-16T13:37:52Z,23CSBS041/Patch-vulnerability-checker,T02,True,T02,"['T09', 'T12']",MEDIUM,,DEFENSIVE,production_platform,ENGINEERING_SUPPLY,"AI=['large language model', 'LLM', 'AI agent']; family=['patch validation', 'vulnerability', 'security']"," #  Project Videos  video: https://drive.google.com/file/d/1nG6q1tP8yRgt0PYe_Ra9_8j02k8bHgMu/view?usp=drivesdk #  PatchPilot AI – Project Analytics  ## Overview  PatchPilot AI is an AI-powered vulnerability intelligence and remediation platform designed to transform raw vulnerability scan outputs into actionable security insights. Security teams often receive large CSV or JSON vulnerability reports containing hundreds or thousands of CVEs, making manual analysis difficult and time-consuming.  PatchPilot AI automates the entire process by ingesting vulnerability scan data, enriching CVEs using public threat intelligence sources, calculating risk scores, generating executive summaries using Large Language Models (LLMs), and producing remediation reports for security teams and management.  ---  ## Key Metrics  ### Input Sources  * CSV Vulnerability Scan Reports * JSON Vulnerability Scan Reports * NVD (National Vulnerability Database) API  ### Processing Capacity  * Supports thousands of CVEs per scan * Automated CVE extraction and validation * Real-time vulnerability enrichment  ### Intelligence Sources  * NVD Threat Intelligence * CVSS Risk Scoring * CWE Classification * Vulnerability References  ### AI Capabilities  * Executive Summary Generation * Business Impact Analysis * Risk Prioritization * Patch Recommendations * Remediation Roadmap Creation  ---  ## Processing Pipeline  Upload Scan File ↓ Ingestion Reader ↓ CVE Extraction ↓ NVD Intelligence Enrichment ↓ Risk Scoring Engine ↓ LLM Analysis (Ollama/Qwen) ↓ Agent Orchestration ↓ Markdown Report Generation ↓ PDF Report Generation ↓ Interactive Dashboard  ---  ## Risk Classification Model  | Severity | CVSS Score | | -------- | ---------- | | Critical | 9.0 - 10.0 | | High     | 7.0 - 8.9  | | Medium   | 4.0 - 6.9  | |",,,,,,,,
IN_SCOPE_FALSE_POSITIVE,divyesh-vaishnav-im/my-blogs,2026-05-29T08:29:07Z,divyesh-vaishnav-im/my-blogs,T12,True,T12,[],HIGH,,DEFENSIVE,tool_framework,ENGINEERING_SUPPLY,"AI=['AI-driven']; family=['exposure management', 'NO_REQUIRED_CONTEXT']","Blogs # ✍️ Blog Portfolio — Divyesh Vaishnav  Personal blog articles on technology, cybersecurity, self-improvement, and life.  ## 📖 Read on Medium [medium.com/@divyesh.vaishanv](https://medium.com/@divyesh.vaishanv)  ## 📋 Published Articles  | # | Title | Date | GitHub Pages | Medium | |---|-------|------|:---:|:---:| | 1 | AI Governance Framework: Best Practices for Enterprises in the Age of AI-Driven Cyber Threats | 2026-06-20 | [Read](https://divyesh-vaishnav-im.github.io/my-blogs/2026-06-20-ai-governance-framework-best-practices-for-enterprises-in-th/) | ⏳ Pending | | 2 | Cybersecurity Governance for AI-Enabled Organizations: A CISO's Blueprint for the Age of Intelligent Threats | 2026-06-20 | [Read](https://divyesh-vaishnav-im.github.io/my-blogs/2026-06-20-cybersecurity-governance-for-ai-enabled-organizations-a-ciso/) | [Read](https://medium.com/@divyesh.vaishanv/building-cyber-resilience-in-the-age-of-ai-a-cisos-blueprint-for-surviving-the-next-generation-f0eaa2ed5611?sk=e69ae878641f1f059c7ab32fcd5c83b3) | | 3 | Building Cyber Resilience in the Age of AI: A CISO's Blueprint for Surviving the Next-Generation Threat Landscape | 2026-06-20 | [Read](https://divyesh-vaishnav-im.github.io/my-blogs/2026-06-20-building-cyber-resilience-in-the-age-of-ai-a-ciso-s-blueprin/) | [Read](https://medium.com/@divyesh.vaishanv/building-cyber-resilience-in-the-age-of-ai-a-cisos-blueprint-for-surviving-the-next-generation-f0eaa2ed5611?sk=e69ae878641f1f059c7ab32fcd5c83b3) | | 4 | 12 Core Defensive Principles Every Organization Should Adopt in the Age of AI-Driven Cyber Threats | 2026-06-20 | [Read](https://divyesh-vaishnav-im.github.io/my-blogs/2026-06-20-12-core-defensive-principles-every-organization-should-adopt/) | [Read](https://medium.com/@divyesh.vaishanv/12-core-defensive-pri",,,,,,,,
IN_SCOPE_FALSE_POSITIVE,Abhilash-KM/SecuX,2026-05-02T12:45:49Z,Abhilash-KM/SecuX,T08,True,T08,['T10'],MEDIUM,,DEFENSIVE,production_platform,ENGINEERING_SUPPLY,"AI=['LLM', 'AI agent', 'AI-driven']; family=['attack chain reconstruction', 'NO_REQUIRED_CONTEXT']","> SecuX is an AI-driven multi-agent cybersecurity platform that automates security audits using specialized agents for log, auth, network, and vulnerability analysis. It reconstructs attack chains, extracts IOCs, and generates actionable SITREPs—supporting OpenRouter, Gemini, and Ollama via a Python CLI and Vite+TypeScript frontend.   # 🛡️ SecuX: Multi-Agent Security Audit & Log Analysis System  <p align=""center"">   <img src=""assets/banner.png"" alt=""SecuX Banner"" width=""700""> </p>  ![Version](https://img.shields.io/badge/version-0.1.0-blue.svg) ![Python](https://img.shields.io/badge/python-3.10%2B-green.svg) ![License](https://img.shields.io/badge/license-MIT-orange.svg)  SecuX is a high-performance, AI-driven cybersecurity orchestration platform. It utilizes a network of specialized AI agents to perform deep security audits, reconstruct complex attack chains, and provide actionable intelligence from raw system telemetry.  ---  ## 🚀 Key Features  *   **Multi-Agent Orchestration**: Specialized agents for Logs, Authentication, Network, and Vulnerability analysis. *   **Super-Agent Correlation**: An advanced logic engine that synthesizes individual findings into a cohesive incident narrative. *   **Attack Chain Reconstruction**: Automatically identifies the progression from Initial Access to Data Exfiltration. *   **SITREP Generation**: Produces ""Situation Reports"" with high-confidence threat intelligence and Indicators of Compromise (IOCs). *   **Real-time Monitoring**: Continuous log scanning with live anomaly detection and reporting. *   **Vendor Agnostic**: Seamlessly switches between OpenRouter, Google Gemini, and Local LLMs (Ollama).  ---  ## 🛠️ CLI Usage  <p align=""center"">   <img src=""assets/audit_phases.png"" alt=""Audit Phases"" width=""700"">   <img src=""assets/audit",,,,,,,,
IN_SCOPE_FALSE_POSITIVE,x3m-ai/Camelot,2026-03-09T21:16:44Z,x3m-ai/Camelot,T07,True,T07,[],MEDIUM,,DUAL_USE_DEFENSE_PRIMARY,offensive_tool,ENGINEERING_SUPPLY,"AI=['AI-powered']; family=['cyber threat intelligence', 'NO_REQUIRED_CONTEXT']","Community hub for Merlino CTI Add-in and Morgana Arsenal Red Team platform -- documentation, guides, and support <div align=""center"">  # Camelot  ### The Kingdom of Cyber Threat Intelligence  <table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""8""> <tr> <td align=""left"" width=""20%"">  [![Merlino](https://img.shields.io/badge/Merlino-CTI%20Add--in-667eea?style=for-the-badge&logo=microsoft-excel&logoColor=white)](https://x3m.ai/merlino/)  </td> <td align=""center"">  ![CTI](https://img.shields.io/badge/CTI-Cyber%20Threat%20Intelligence-0d6efd?style=for-the-badge) ![Red Team](https://img.shields.io/badge/Red%20Team-Adversary%20Emulation-dc3545?style=for-the-badge) ![Blue Team](https://img.shields.io/badge/Blue%20Team-Detection%20%26%20Defense-0dcaf0?style=for-the-badge) ![Purple Team](https://img.shields.io/badge/Purple%20Team-State%20of%20the%20Art-6f42c1?style=for-the-badge)  </td> <td align=""right"" width=""20%"">  [![Community](https://img.shields.io/badge/Community-Discussions-28a745?style=for-the-badge&logo=github&logoColor=white)](https://github.com/x3m-ai/Camelot/discussions)  </td> </tr> </table>  ---  *Built by [X3M.AI](https://x3m.ai) -- Threat Intelligence, Reimagined*  ---  > ### Merlino and Morgana are free. If they help you, consider sponsoring the project. > *Two tools. One developer. Zero subscription fees. Your support keeps them alive.* > > [![Sponsor on GitHub](https://img.shields.io/badge/♥_Sponsor-GitHub%20Sponsors-ea4aaa?style=for-the-badge&logo=github-sponsors&logoColor=white)](https://github.com/sponsors/x3m-ai)  </div>  ---  ## What Is Camelot?  **Camelot** is the community hub for the X3M.AI cybersecurity ecosystem. It brings together two powerful tools under one roof:  | Tool | What It Does | Install | |---|---|---| | **Merlino** | Free Excel A",,,,,,,,
IN_SCOPE_FALSE_POSITIVE,api-evangelist/palo-alto-networks,2026-02-27T15:05:35Z,api-evangelist/palo-alto-networks,T12,True,T10,[],HIGH,,DEFENSIVE,production_platform,ENGINEERING_SUPPLY,"AI=['LLM']; family=['SOAR', 'NO_REQUIRED_CONTEXT']","Palo Alto Networks — independent third-party profile of a public API surface, by API Evangelist. Palo Alto Networks is a global cybersecurity leader providing advanced security platforms and services across network security, cloud security, and security operations. Its developer platform at pan.dev offers REST and XML APIs for PAN-OS firewalls, Str # Palo Alto Networks (palo-alto-networks)  <!-- API-EVANGELIST-PROVENANCE:BEGIN --> > ### About this repository > > **This is not our API.** This repository is an independent, third-party profile of a company's > **publicly available** API surface, maintained by [API Evangelist](https://apievangelist.com). > API Evangelist does not operate, host, resell, or support this company's APIs, and is not > affiliated with or endorsed by the company unless stated on the profile. > > **Where the information came from.** Everything here is assembled from material a member of the > public can reach with a browser and no credentials — the company's own website, developer portal > and documentation, the specifications it publishes for public use (OpenAPI, AsyncAPI, JSON Schema, > `apis.json`, `llms.txt` and similar), its public repositories, and its public status, pricing and > changelog pages. **Nothing here is obtained by breaching a system, defeating an access control, or > using credentials of any kind.** > > **The rating is an independent assessment.** The Kin Score and Agent Readiness rating are > independently calculated scores of a company's *public* API artifacts, produced by API Evangelist > against a published rubric. They are not certifications, endorsements, security assessments, or > audits, and they score published artifacts — not the quality, safety, or security of the software. > > **Corrections, re-scores, and removal are",,,,,,,,
IN_SCOPE_FALSE_POSITIVE,smit-27/multi_shield_og,2026-03-12T11:19:22Z,smit-27/multi_shield_og,T13,True,T13,[],HIGH,,DEFENSIVE,production_platform,ENGINEERING_SUPPLY,"AI=['AI-powered', 'AI-driven']; family=['adaptive authentication', 'NO_REQUIRED_CONTEXT']"," # 🛡️ MultiShield ### AI-Driven Zero Trust Early Warning System & Insider Threat Mitigation Platform  > **MultiShield** is an enterprise-grade, full-stack cybersecurity platform implementing **Zero Trust Architecture (ZTA)**, **AI-powered behavioral analytics**, and **blockchain-backed audit logging** for core banking environments. > > It acts as an **inline Policy Enforcement Point (PEP)** that continuously evaluates every user login, API request, and financial transaction before granting access.  ---  # 🚀 Overview  Traditional banking systems often authenticate users only once at login, leaving systems vulnerable to insider threats, privilege abuse, account compromise, and sophisticated fraud.  **MultiShield** follows the **""Never Trust, Always Verify""** principle by continuously verifying users throughout every interaction.  The platform combines:  - 🔐 Zero Trust Access Control - 🤖 AI Behavioral Risk Analysis - 🚨 Insider Threat Detection - 💰 Anti-Fraud Transaction Monitoring - 🌍 Context-Aware Geofencing - 🔑 Adaptive Multi-Factor Authentication - ⛓️ Blockchain-based Immutable Audit Logs  ---  # 🏗️ System Architecture  ```text                          ┌──────────────────────────────┐                          │        Client Layer          │                          │ ──────────────────────────── │                          │ Banking Portal (React)       │                          │ Admin Dashboard (React)      │                          └──────────────┬───────────────┘                                         │                               REST APIs │ JWT                                         ▼                     ┌────────────────────────────────────┐                     │ Zero Trust Access Gateway (PEP)    │                     │ Continuous Verification            │",,,,,,,,
